	sex	job	blood_group	name	race	address	birthdate	current_location	ssn
1584	M	Publishing copy	AB+	Keith Smith	Black	"64505 Ryan Meadow Apt. 342
East Jenniferhaven, OK 68218"	1938-10-30	(Decimal('31.4285355'), Decimal('-178.286545'))	815-88-7367
1585	M	Water quality scientist	B-	Jonathan Mosley	Black	"219 Dana Villages
Johnsonburgh, HI 93600"	15 Aug 1945	(Decimal('-35.7079415'), Decimal('-90.510945'))	795-06-7722
1586	F	Manufacturing systems engineer	AB+	Andrea Rubio	White	"53080 Michelle Throughway Suite 667
Mcgeebury, RI 41334"	1941-12-21	(Decimal('-78.314888'), Decimal('77.022477'))	549-57-4584
1587	F	Animal technologist	O-	Shannon Berry	White	"170 Bill Trafficway Apt. 412
Haroldfort, LA 84715"	1984/02/20	(Decimal('9.2762455'), Decimal('-69.013274'))	304-66-5317
1588	M	Chief Operating Officer	A-	Ryan Gonzales	Black	"0982 Brian Courts
New Shannonport, MI 99528"	05/25/1981, 00:00:00	(Decimal('89.5289515'), Decimal('162.382716'))	891-43-2259
1589	M	Advice worker	A+	Mr. Zachary Gates	White	"534 Pace Meadows
Port Judithport, AR 95729"	05/02/2008, 00:00:00	(Decimal('-74.177153'), Decimal('-141.310856'))	694-68-5711
1590	M	Armed forces training and education officer	A+	Mark Hooper	White	"862 Victor Place Suite 216
Murphymouth, NY 75626"	04/07/1918, 00:00:00	(Decimal('65.680327'), Decimal('-160.994020'))	691-66-4500
1591	M	Radiographer, diagnostic	A+	Joseph Long	Indian	"126 Green River Apt. 255
Hunterville, WI 76582"	02/28/1952, 00:00:00	(Decimal('55.519782'), Decimal('52.863641'))	675-46-8724
1592	M	Accounting technician	AB+	Sean Thompson	Hawaiian	"51392 Jon Meadow
Port Darleneport, LA 07315"	1942-06-14	(Decimal('-37.524277'), Decimal('-137.005663'))	072-71-3902
1593	M	Contracting civil engineer	A-	Gregory Serrano	Asian	"083 Nicholson Flat
Winterstown, AR 05578"	1934-01-12	(Decimal('-65.452975'), Decimal('-169.987674'))	465-44-0456
1594	F	Oncologist	A-	Shelby Clark	White	"401 Regina Dam
West Michaelfort, AK 41134"	1982/07/04	(Decimal('-85.130350'), Decimal('-58.769944'))	469-55-9160
1595	M	Architectural technologist	B+	Mark Humphrey	Black	"8022 Christopher Course
Andrewborough, SD 38736"	1939-06-13	(Decimal('39.6876315'), Decimal('73.523812'))	054-15-0916
1596	F	Copy	AB+	Stephanie Rodriguez MD	White	"1112 Silva Burgs Apt. 229
West Mary, NY 95495"	02/08/1930, 00:00:00	(Decimal('-6.5052095'), Decimal('-2.905388'))	148-77-3970
1597	F	Photographer	AB+	Tammy James	White	"328 Moore Lights
Jacobshire, KY 84302"	09/19/2004, 00:00:00	(Decimal('6.8158635'), Decimal('34.310171'))	484-75-3632
1598	F	Seismic interpreter	B-	Christina Wright	White	"92977 Dylan Springs
Lake Connortown, ND 83251"	11/12/1960, 00:00:00	(Decimal('54.366829'), Decimal('161.818598'))	592-99-0817
1599	F	Meteorologist	AB+	Kim Donaldson	Black	"89670 Crystal Greens
Castillomouth, FL 94949"	1919-01-17	(Decimal('4.4154025'), Decimal('-84.718516'))	726-25-8871
1600	M	Bonds trader	AB-	Reginald Smith	Hawaiian	"8992 Joanne Fall
West Christophermouth, AZ 17509"	20 Jan 2008	(Decimal('74.383663'), Decimal('-150.929522'))	885-20-6751
1601	M	Armed forces operational officer	AB-	William Yoder	White	"64007 George Manor Apt. 872
New Jasonchester, HI 97908"	1982/01/21	(Decimal('-68.8331805'), Decimal('15.466111'))	023-71-1859
1602	M	Education officer, environmental	O-	Michael Murray	White	"6663 Howard Roads
North Andrew, MT 59339"	05/03/1936, 00:00:00	(Decimal('-1.3437665'), Decimal('-72.455040'))	272-80-0605
1603	M	Fast food restaurant manager	O-	Juan Baldwin	Indian	"745 Angela Key Suite 022
Port Hunterview, FL 88885"	1962-10-04	(Decimal('-6.177675'), Decimal('113.859851'))	029-46-4638
1604	F	Psychotherapist	AB-	Kristi Brown	White	"543 Cummings Mews
South Kelsey, AK 05650"	18 Oct 1949	(Decimal('-46.566296'), Decimal('-108.676533'))	067-59-0168
1605	M	Public affairs consultant	AB-	John Brown	Black	"21659 Combs Club
Walkerton, ND 89910"	1908/04/30	(Decimal('28.986830'), Decimal('-165.923130'))	081-96-6547
1606	M	Museum education officer	AB-	Jose Juarez	Black	"8178 Jessica Pike
Bakerville, LA 87397"	12/30/1919, 00:00:00	(Decimal('3.583756'), Decimal('-89.530626'))	156-98-5006
1607	F	Actuary	O+	Jessica Williams	White	"463 Gutierrez Gateway Apt. 459
Jaystad, MA 59687"	10/21/1943, 00:00:00	(Decimal('41.2955365'), Decimal('31.794829'))	316-96-6927
1608	M	Forensic psychologist	O-	Joseph Campbell	White	"995 Kline Isle
New Joy, KY 45831"	1981/05/12	(Decimal('69.6346505'), Decimal('-35.132583'))	287-85-1491
1609	M	Forest/woodland manager	B-	Arthur Taylor	Hawaiian	"68087 Bruce Trail Apt. 986
Wrightborough, AR 71209"	05/29/1913, 00:00:00	(Decimal('41.3453705'), Decimal('-26.842936'))	854-54-2024
1610	M	Retail manager	A-	Daniel Wallace	Asian	"3642 Reed Land Apt. 337
Victoriabury, NE 32480"	12/13/1988, 00:00:00	(Decimal('-54.633651'), Decimal('-131.051229'))	148-17-7201
1611	M	Community arts worker	O-	Ronald Myers	black	"543 Courtney Overpass Apt. 778
Brockfort, DE 02809"	1932/03/03	(Decimal('61.3868105'), Decimal('119.477302'))	502-01-5667
1612	F	Race relations officer	O+	Christina Maldonado	Black	"980 Kristin Glens
East Pennyville, IA 16588"	10/13/1935, 00:00:00	(Decimal('-31.014010'), Decimal('46.731888'))	432-85-6849
1613	F	General practice doctor	AB+	Linda Willis	White	"9021 Santiago Lights
New Rachel, LA 72836"	02/26/2019, 00:00:00	(Decimal('-78.3861725'), Decimal('33.373899'))	319-32-1944
1614	M	Accommodation manager	A+	Kevin Coleman	white	"41498 Randall Turnpike Apt. 865
Choiburgh, TN 09074"	1909/11/25	(Decimal('1.6311945'), Decimal('-50.259475'))	847-42-9048
1615	M	Arts administrator	AB+	Nicholas Smith	White	"3354 Barnes Ways
New Charlesborough, MN 48084"	04 Oct 1949	(Decimal('-9.893489'), Decimal('165.893389'))	781-22-4731
1616	M	Health service manager	O-	Thomas Chan	Black	"41985 Stephens Harbors Apt. 705
Lake Erikatown, ID 83951"	08/12/1995, 00:00:00	(Decimal('-70.632362'), Decimal('-67.756930'))	585-75-9367
1617	M	Wellsite geologist	O+	Mitchell Richardson	White	"1510 Phillips Stream Apt. 083
Williamsview, SC 18550"	1912-05-30	(Decimal('37.740931'), Decimal('96.902315'))	216-18-1334
1618	M	Dentist	B+	Samuel Braun	White	"28442 Davies Light Apt. 544
East Michael, OR 75749"	08 Jun 1925	(Decimal('34.554171'), Decimal('80.275469'))	166-73-8742
1619	M	Designer, jewellery	O-	Richard Coleman	White	"5884 Teresa Spurs Suite 921
South Michael, MT 81375"	1939/05/13	(Decimal('57.0756715'), Decimal('-63.725887'))	808-43-2060
1620	M	Economist	B-	Andrew Rodriguez	Asian	"979 Larry View Apt. 093
Cisnerosland, ND 15535"	2006-08-14	(Decimal('-53.4264045'), Decimal('-71.348252'))	308-50-3017
1621	M	Technical author	AB-	Brett Harris	White	"05717 Gregory Crossing
Port Kelly, CA 55364"	04 Aug 1994	(Decimal('81.040991'), Decimal('-120.588019'))	233-85-2914
1622	M	Forensic psychologist	O+	Randy Castillo	Hawaiian	"10916 Solis Shores Suite 290
Hammondmouth, ME 51195"	21 Oct 1957	(Decimal('-35.619767'), Decimal('27.490242'))	631-98-1415
1623	M	Accountant, chartered management	O-	Mark Turner	White	"76321 Christopher Forge
Dunnmouth, GA 95151"	1988/08/05	(Decimal('-53.6435505'), Decimal('-15.575377'))	579-53-9134
1624	F	Social worker	A+	Kaitlyn Williams	Black	"656 Margaret Summit Suite 813
New Evanmouth, WA 80852"	1935/09/30	(Decimal('-65.352328'), Decimal('-149.365322'))	203-52-9107
1625	M	Dispensing optician	B-	William White	White	"240 Maldonado Curve
Port Brooke, TX 37091"	2003/11/08	(Decimal('-45.4978195'), Decimal('154.847186'))	877-23-7088
1626	F	Orthoptist	A+	Jean Walsh	Hawaiian	"4529 Gordon Via
Matthewburgh, NM 69024"	1983/09/04	(Decimal('-53.170596'), Decimal('-113.651487'))	313-21-0267
1627	M	Environmental consultant	B+	Aaron Johnson	Indian	"USS Coleman
FPO AP 18347"	06/13/1922, 00:00:00	(Decimal('12.4014895'), Decimal('93.648975'))	480-88-4675
1628	F	Merchant navy officer	B-	Katherine Vaughan	White	"3519 James Viaduct Suite 119
North Destinyton, ID 86936"	2009-05-01	(Decimal('66.3128955'), Decimal('-29.864142'))	876-98-3107
1629	F	Copywriter, advertising	AB-	Jessica Ryan	blsck	"585 Bird Burgs Apt. 731
Lake Angela, PA 76590"	04/06/1993, 00:00:00	(Decimal('66.963160'), Decimal('-67.545779'))	003-89-1201
1630	F	Youth worker	O+	Alicia Davis	White	"808 Scott Greens
Choiborough, VA 94835"	11/27/1949, 00:00:00	(Decimal('-20.4841915'), Decimal('169.949406'))	353-23-0604
1631	F	General practice doctor	O-	Tracy Perez	Black	"3188 Leslie Turnpike Suite 603
Port Scottport, LA 70956"	18 Jun 1962	(Decimal('63.651848'), Decimal('-178.670331'))	181-13-2955
1632	M	Chief Technology Officer	O-	Robert Simmons	Black	"923 Amy Cliffs Apt. 686
West Summer, WI 01144"	1912-12-18	(Decimal('43.6237145'), Decimal('-138.429581'))	683-74-0396
1633	F	Administrator, charities/voluntary organisations	O+	Rachel Jenkins	White	"19759 Navarro Village Suite 432
Arroyoton, MN 44704"	1924-01-06	(Decimal('28.856137'), Decimal('58.822371'))	464-52-8447
1634	F	Warehouse manager	AB+	Morgan Washington	White	"07640 Karen Stravenue Suite 249
Port Daltonmouth, VA 07887"	1947/02/28	(Decimal('64.574854'), Decimal('-92.878742'))	809-57-1491
1635	F	Heritage manager	AB-	Victoria Castro	Black	"2850 Michael Way
Smithville, DE 89263"	02/19/1950, 00:00:00	(Decimal('-32.801262'), Decimal('80.217069'))	321-50-8314
1636	M	Operational investment banker	B-	Ryan Alvarado	White	"USCGC Aguirre
FPO AE 53642"	03/16/1987, 00:00:00	(Decimal('59.0386565'), Decimal('104.178185'))	016-49-0546
1637	M	Meteorologist	B-	Mr. Jerry Harper	White	"7223 Christopher Mountain
Jimmyview, CO 06588"	15 Apr 1929	(Decimal('27.839419'), Decimal('162.867102'))	713-74-4665
1638	F	Ceramics designer	O-	Kathryn Wilson	Asian	"93033 Dorsey Fields
Robertview, CT 62791"	2020/08/22	(Decimal('70.6056545'), Decimal('-76.712479'))	769-03-6592
1639	F	Best boy	O+	Kaitlin Brown	White	"18413 Kim Fort
Lake Johnhaven, MO 26591"	23 Apr 1963	(Decimal('83.2939595'), Decimal('16.150779'))	363-04-7919
1640	F	Management consultant	AB-	Leslie Smith	Asian	"Unit 8586 Box 4634
DPO AE 17355"	10/20/1989, 00:00:00	(Decimal('38.1324665'), Decimal('-83.258748'))	091-10-0023
1641	F	Proofreader	AB-	Natalie Thompson	White	"709 Fernandez Stravenue Suite 296
East Michaelburgh, CA 95610"	04/15/1969, 00:00:00	(Decimal('80.4860035'), Decimal('-159.810973'))	074-49-4972
1642	M	Press sub	AB+	Brandon Smith	White	"02040 Amber Lock Suite 279
New Kristine, LA 61140"	08/06/2011, 00:00:00	(Decimal('73.825229'), Decimal('178.101179'))	253-04-1932
1643	F	Passenger transport manager	AB+	Lauren Willis	Black	"PSC 7715, Box 5214
APO AE 73636"	22 Jun 1934	(Decimal('-11.5176735'), Decimal('68.074967'))	006-02-9488
1644	F	Chief Technology Officer	A+	Diana Joseph	White	"36125 Sarah Groves
Aaronfort, HI 99097"	24 Dec 1938	(Decimal('38.0329675'), Decimal('-173.813162'))	733-90-8974
1645	M	Mudlogger	AB+	Joseph Estrada	White	"865 Troy Center
Garyshire, NY 32424"	1969/07/24	(Decimal('-88.4261175'), Decimal('101.114655'))	072-95-8444
1646	F	Logistics and distribution manager	A-	Grace Parker	White	"937 Leah Islands Suite 623
Vasquezfort, MA 46761"	2001/09/22	(Decimal('-28.9537395'), Decimal('38.561313'))	049-42-9191
1647	M	Structural engineer	A+	Gregory Meyer	black	"66101 Sandra Hill Suite 915
Cynthiamouth, KS 25990"	1999-05-29	(Decimal('-5.9276445'), Decimal('-84.640649'))	311-85-2241
1648	M	Volunteer coordinator	O-	Michael Fox	black	"8635 Johnson Shoal
Cruzmouth, MS 25993"	06/05/1925, 00:00:00	(Decimal('87.9176725'), Decimal('-4.077100'))	036-73-9988
1649	F	Financial adviser	O+	Tara Brown	White	"262 Holden Villages
Jacobberg, OH 92843"	16 Oct 1948	(Decimal('29.3520185'), Decimal('47.466797'))	810-90-0924
1650	M	Barista	B+	Brent Shepherd	White	"42231 Jeffrey Place
Walkershire, NH 48130"	1924/02/20	(Decimal('-5.781617'), Decimal('-48.328784'))	649-40-6792
1651	M	Buyer, industrial	B-	Randy Perez	White	"76665 Morris Lakes
East Ronald, ID 65791"	1937-07-21	(Decimal('19.9312405'), Decimal('-65.657514'))	410-38-7261
1652	F	Programmer, systems	B+	Christina Miles	White	"135 Janet Rue Apt. 741
Lisaport, KS 80098"	1925-02-20	(Decimal('34.4441235'), Decimal('-18.601255'))	770-56-1055
1653	F	Surveyor, commercial/residential	A+	Shelly Fry	White	"12405 Arthur Hills
North Donaldmouth, OR 08212"	2018-07-08	(Decimal('-87.4282385'), Decimal('-88.711213'))	417-38-8536
1654	M	Lawyer	AB-	Michael Ramirez	White	"8824 Jackson Point Suite 826
Matthewmouth, SD 65088"	1930/04/04	(Decimal('76.0469255'), Decimal('53.118617'))	569-34-8287
1655	F	Copywriter, advertising	B+	Samantha Wilson	White	"62732 Garcia Centers
Sawyerburgh, NE 71975"	1928-10-15	(Decimal('-8.737568'), Decimal('172.913092'))	377-55-5608
1656	F	Communications engineer	AB+	Teresa Cook	Indian	"6839 Delgado Stravenue
South Trevorborough, DC 12218"	14 Apr 1996	(Decimal('-22.978590'), Decimal('-28.816285'))	360-85-4387
1657	F	Cytogeneticist	AB+	Catherine Russo	White	"578 Johnson Wells Suite 800
East Robin, OR 83094"	1957-11-16	(Decimal('-60.8031615'), Decimal('4.208711'))	182-21-1545
1658	M	Building services engineer	AB+	Reginald Harrison	Black	"PSC 9780, Box 1332
APO AE 03306"	1971/06/23	(Decimal('-20.055551'), Decimal('-84.530446'))	055-88-9681
1659	M	Public house manager	AB-	Robert Garza	White	"294 Kyle Court Apt. 595
North Kristenbury, SC 08014"	1991/01/25	(Decimal('-65.640512'), Decimal('82.777404'))	337-63-1907
1660	F	Surveyor, quantity	O-	Janet Mcneil	White	"6207 David Fork
Smithton, AZ 04325"	1949-05-20	(Decimal('-84.076182'), Decimal('157.118332'))	585-70-0015
1661	F	Surveyor, building	A-	Emily Williams	Black	"393 Schwartz Ranch Suite 622
Hillland, LA 64968"	1956-04-11	(Decimal('-74.7379505'), Decimal('-156.803251'))	588-44-1749
1662	M	Designer, fashion/clothing	AB-	Luis Knight	White	"6084 Ferguson Island
Port Sarahtown, MN 75334"	26 Jan 1928	(Decimal('88.9854435'), Decimal('-37.184654'))	685-58-9135
1663	F	Chartered management accountant	AB-	Joyce Burnett	White	"10036 Thomas Camp Suite 300
Garciaview, CT 36900"	28 Sep 1993	(Decimal('-34.2347845'), Decimal('-17.747854'))	453-35-9036
1664	M	Chief Executive Officer	A+	Justin Bailey	White	"USS Perez
FPO AP 60950"	19 Nov 1940	(Decimal('68.3009545'), Decimal('173.464334'))	068-37-0061
1665	M	Therapist, speech and language	B-	Jonathan Bean	Asian	"63946 Malone Bridge Apt. 326
West Williamburgh, NH 40896"	05 Oct 2006	(Decimal('24.2846305'), Decimal('-117.321723'))	484-29-8263
1666	M	Tourist information centre manager	B+	Nicholas Escobar	Hawaiian	"763 Miller Mount Apt. 452
New Peterport, AK 32157"	2005/07/14	(Decimal('89.4622675'), Decimal('58.000433'))	132-60-2967
1667	F	Retail manager	A+	Denise Andersen	White	"59978 Charles Branch
West Annaview, MO 60737"	09/06/2007, 00:00:00	(Decimal('-19.3786735'), Decimal('-71.732281'))	377-68-8849
1668	F	Copywriter, advertising	B+	Megan Murphy	Black	"32163 Nathan Walk Apt. 655
West Christopherland, UT 68478"	2000-12-27	(Decimal('-47.492454'), Decimal('178.475538'))	815-81-6597
1669	F	Film/video editor	AB-	Tara Stewart	White	"024 Wilkins Courts
South Elizabeth, OR 94723"	2002-05-21	(Decimal('-76.0129265'), Decimal('-80.379803'))	873-12-3256
1670	F	Hospital pharmacist	B-	Stephanie Delacruz	White	"612 Carter Park Apt. 239
Angelicaport, MT 49699"	1954-04-25	(Decimal('-38.131608'), Decimal('84.224459'))	647-15-3005
1671	M	Surveyor, insurance	AB+	Joshua Rivera	Hawaiian	"Unit 9583 Box 2621
DPO AE 77836"	08/31/1942, 00:00:00	(Decimal('38.349476'), Decimal('-165.816797'))	724-46-7057
1672	F	Research scientist (maths)	O+	Emily Andrews	White	"5080 Christian Street
Lake Bradleychester, DE 65831"	1910-02-04	(Decimal('57.400263'), Decimal('126.214039'))	632-94-2592
1673	F	Video editor	O-	Jean Mayo	White	"2419 Dalton Run
West Ellen, WA 86320"	1988-12-08	(Decimal('-22.7204055'), Decimal('-126.660415'))	665-49-5915
1674	M	Systems analyst	B-	Christopher Fitzpatrick	blsck	"803 James Coves Suite 365
Baileymouth, MN 39117"	1989/01/22	(Decimal('69.364570'), Decimal('-73.491628'))	406-68-2339
1675	F	Ceramics designer	A-	Peggy Newman	White	"021 Johnson Plains
Lake Thomasburgh, NJ 61002"	13 Jul 1925	(Decimal('-82.769360'), Decimal('-32.658605'))	261-86-5966
1676	M	Programmer, systems	A+	Marc Terrell	White	"43712 Ryan Forks Suite 891
Port Gabriel, WV 65436"	04/28/1919, 00:00:00	(Decimal('-65.996580'), Decimal('-142.380382'))	429-71-9032
1677	M	Psychologist, prison and probation services	B+	Matthew Johnson	Asian	"07962 Roger Greens
North Juliefurt, WV 86917"	20 Feb 1993	(Decimal('18.3689315'), Decimal('-21.170196'))	571-73-0098
1678	M	Exhibitions officer, museum/gallery	O-	Tony Graves	Black	"18873 Debra Forges
New Jason, TX 59805"	1938/11/15	(Decimal('32.0208635'), Decimal('95.579989'))	753-43-5038
1679	F	Diagnostic radiographer	O-	Emma Williams	Black	"93852 Greene Turnpike Suite 044
Kimberlybury, VT 50312"	1978/06/12	(Decimal('34.598356'), Decimal('-117.759160'))	380-81-3552
1680	F	Aid worker	O-	Dominique Espinoza	White	"422 Amy Station Suite 122
East Justinshire, NJ 72808"	1981-02-21	(Decimal('10.269867'), Decimal('-122.604405'))	650-24-1115
1681	M	Health and safety inspector	B+	Gerald Thomas	White	"Unit 4332 Box 4815
DPO AE 41295"	22 Apr 1936	(Decimal('-40.835038'), Decimal('159.513904'))	236-10-8236
1682	M	Tour manager	O+	Michael Bishop	White	"5831 Zuniga Keys
Rodriguezmouth, AL 51704"	10 Oct 1970	(Decimal('-40.403899'), Decimal('-55.340895'))	438-17-5781
1683	M	Teacher, English as a foreign language	O+	Joseph Ingram	Black	"237 Joseph Plains
Maryland, PA 93218"	1909-04-18	(Decimal('-35.8804495'), Decimal('77.382728'))	421-42-1667
1684	F	Magazine features editor	B+	Emily Lewis	Indian	"440 Long Island
East Dean, ID 74868"	1935-04-09	(Decimal('-82.8324315'), Decimal('-72.934245'))	714-03-8574
1685	M	Forensic scientist	AB+	Dennis Daniels	Indian	"7052 Natalie Path Apt. 802
Vargasmouth, CA 30697"	1990-08-06	(Decimal('31.9962495'), Decimal('71.242690'))	355-95-9923
1686	F	Medical illustrator	A-	Kelly Stewart	Asian	"56228 Lester Terrace Suite 590
Wendyfurt, MD 64880"	1927-03-11	(Decimal('85.6094815'), Decimal('96.076559'))	040-61-7051
1687	M	Engineer, civil (contracting)	AB+	Brandon Brown	White	"057 Erica Village
New Zachary, ME 69356"	05 Feb 1992	(Decimal('8.158164'), Decimal('-157.945777'))	448-22-0680
1688	F	Occupational hygienist	AB-	Ellen Garza	White	"417 Robert Knolls Suite 723
East Francisco, MT 48867"	25 Feb 2002	(Decimal('16.838502'), Decimal('130.295840'))	517-12-7894
1689	M	TEFL teacher	B-	Brent Cummings	Black	"731 Ward Ville
Lake Jennifer, IL 59937"	03 Aug 1934	(Decimal('65.376672'), Decimal('49.517190'))	074-57-3553
1690	M	Education officer, museum	O-	Nicholas Jackson	Black	"5504 Karen Walks Apt. 989
South Jeffreyfort, NM 07670"	2013/06/29	(Decimal('17.9336195'), Decimal('173.978217'))	542-60-8525
1691	M	Chartered legal executive (England and Wales)	A+	Benjamin Jones	White	"Unit 1281 Box 1030
DPO AP 24389"	08/07/1992, 00:00:00	(Decimal('-66.012944'), Decimal('-108.749790'))	745-15-8303
1692	F	Geologist, engineering	AB+	Miranda Bradshaw	White	"71934 Christine Overpass
Gregoryton, NH 22703"	1998-04-15	(Decimal('-70.8209845'), Decimal('-140.282124'))	074-95-7635
1693	F	Product manager	B+	Ashley Beck	Black	"1493 Pacheco Oval Apt. 768
Lake Brianville, HI 61267"	12 Feb 1984	(Decimal('-36.883611'), Decimal('9.700900'))	152-44-6425
1694	M	Engineer, manufacturing	A+	Brian Bell	White	"684 Lindsay Course Suite 198
Hughesshire, MN 59377"	1906/11/23	(Decimal('-18.815030'), Decimal('-1.158189'))	461-92-1765
1695	F	Designer, graphic	AB-	Shannon Diaz	Hawaiian	"1552 Theresa Shoal Suite 395
Griffinmouth, WV 50942"	1963-05-02	(Decimal('-21.7480315'), Decimal('122.593251'))	667-67-2483
1696	F	Civil Service administrator	A-	Denise Robertson	Black	"2785 Mcconnell Parkways Suite 386
Murphytown, WA 89170"	17 Oct 1977	(Decimal('-56.8607605'), Decimal('-160.392777'))	111-24-0111
1697	F	Broadcast engineer	A-	Mary Lee	White	"794 Jessica Radial Suite 847
West Dawnview, CO 66808"	05/18/1986, 00:00:00	(Decimal('-4.224122'), Decimal('-179.094036'))	605-35-9972
1698	F	Visual merchandiser	O+	Ashley Lawson	White	"015 Cordova Haven Apt. 923
South Michele, AK 49779"	17 Oct 1956	(Decimal('0.526507'), Decimal('64.550777'))	480-99-0132
1699	M	Chief Marketing Officer	A-	Angel Cross	White	"265 Carter Island
New Brittany, WA 85582"	2016-03-31	(Decimal('33.4327895'), Decimal('55.696941'))	695-93-8963
1700	F	Hydrologist	O+	Christine Norris	Black	"343 Dustin Forest Suite 528
Ramirezbury, TN 69995"	1996/04/09	(Decimal('32.3509145'), Decimal('-46.005079'))	104-80-9147
1701	M	Psychologist, counselling	B-	Christopher Lynn	Asian	"328 Trujillo Knoll
East Dawnchester, WY 61563"	1972-07-29	(Decimal('86.568681'), Decimal('-65.243269'))	510-88-9917
1702	M	Customer service manager	O-	Anthony White	Black	"13904 Jessica Port
New Kristinaburgh, CA 53899"	23 Apr 1942	(Decimal('3.2938675'), Decimal('-157.638920'))	712-34-9500
1703	M	Psychotherapist, child	A-	James Pierce	Black	"9759 Jensen Divide
Port Sarabury, KY 25618"	02 Dec 2009	(Decimal('0.0032815'), Decimal('80.369460'))	509-28-3668
1704	M	Health physicist	A+	Steven Fox	Indian	"038 Ashley Vista
Rasmussenberg, AR 89374"	1917/01/12	(Decimal('-83.5080985'), Decimal('127.523197'))	793-79-7969
1705	F	Loss adjuster, chartered	AB-	Mary Allison	Black	"48711 Shane Roads Suite 311
East Andre, AZ 66644"	26 Jan 2019	(Decimal('34.089403'), Decimal('110.353305'))	298-39-6589
1706	M	Medical physicist	A-	Larry Finley	White	"154 Brewer Manor
Stewartmouth, RI 86612"	1986-06-24	(Decimal('-61.4270245'), Decimal('166.875807'))	076-21-4425
1707	M	Careers information officer	B+	Matthew Johnson	Indian	"309 Phillip Lake Apt. 543
Zacharyshire, IL 79677"	01/07/2016, 00:00:00	(Decimal('32.136694'), Decimal('123.212212'))	031-29-1350
1708	F	Environmental consultant	AB+	Cheryl Morton	White	"5852 Kelly Views Suite 994
Port Ashley, RI 73843"	2015/01/25	(Decimal('-68.113958'), Decimal('-74.173296'))	355-12-0187
1709	M	Colour technologist	AB-	Philip Singh	White	"99988 Hines Bypass
East Susanburgh, NV 03675"	1936/08/25	(Decimal('80.762346'), Decimal('86.263247'))	617-18-7347
1710	M	Market researcher	O-	Dennis Johnson	Asian	"49766 Tiffany Mill Apt. 218
Josephmouth, SC 81336"	2006-02-16	(Decimal('-58.332762'), Decimal('-44.344273'))	831-94-2989
1711	F	Therapist, speech and language	AB+	Melissa Snyder	White	"45076 Jorge Estate
Lake Curtis, MS 51614"	15 Jul 1949	(Decimal('70.4610665'), Decimal('114.943904'))	113-95-2888
1712	F	Programmer, systems	A-	Patricia Martinez	White	"54226 Kelly Lock Suite 899
East Gregoryberg, DC 38185"	05/06/1916, 00:00:00	(Decimal('80.9427865'), Decimal('52.809392'))	432-19-7905
1713	F	Futures trader	O+	Michelle Kelly	White	"64926 Taylor Center Suite 953
South Kevinport, RI 14134"	1990-08-03	(Decimal('62.459020'), Decimal('153.349420'))	023-05-5732
1714	M	Therapist, horticultural	AB-	Christopher Young MD	Black	"3570 Harry Walks Apt. 350
Jonesburgh, AR 74410"	1927/11/01	(Decimal('77.134353'), Decimal('128.536188'))	038-34-8264
1715	F	Pathologist	O-	Sara Yoder	Asian	"8756 Kristina Fields
Kimberlyland, IL 90366"	13 Aug 1936	(Decimal('-89.388185'), Decimal('-17.598321'))	060-30-5367
1716	M	Editor, commissioning	B+	Antonio Lewis	White	"31836 Nathaniel Roads Apt. 100
Amberstad, CO 52014"	2006/04/14	(Decimal('-60.8903725'), Decimal('-161.600386'))	588-07-1396
1717	F	Water engineer	A-	Kim Barton	Black	"894 Powers Manor
West Jeffreybury, AR 11825"	08/14/2002, 00:00:00	(Decimal('37.5493905'), Decimal('-179.883221'))	459-46-6244
1718	F	Television floor manager	AB+	Natasha Lawrence	White	"14597 Adam Creek
Cartertown, NC 99372"	07/08/1961, 00:00:00	(Decimal('56.2134085'), Decimal('-69.301178'))	727-35-5887
1719	F	Private music teacher	A-	Angelica Saunders	Indian	"065 Smith Lodge
Paulstad, DE 59003"	26 Aug 1970	(Decimal('46.410297'), Decimal('19.273888'))	074-27-6859
1720	M	Programmer, applications	A-	David Klein	Hawaiian	"765 Collins Islands Suite 541
South Troy, MT 55114"	1925-07-17	(Decimal('27.011474'), Decimal('55.073725'))	810-08-9962
1721	M	Furniture designer	B+	Richard Wade	White	"472 Sparks Forks
East Jamesview, AR 73349"	30 Nov 1944	(Decimal('-17.457155'), Decimal('-128.577157'))	328-13-4830
1722	F	Sub	O-	Emily Yates	Black	"147 Gonzalez Centers
Kimberlyberg, IL 69152"	10/06/2001, 00:00:00	(Decimal('-86.343770'), Decimal('-81.506639'))	361-02-7361
1723	M	Secretary/administrator	B+	John Harris	White	"968 Barrett Ranch
Robertland, GA 38733"	02/23/1998, 00:00:00	(Decimal('-51.551748'), Decimal('113.846863'))	868-17-5821
1724	M	Optician, dispensing	AB+	Mr. William Sutton	black	"057 Corey Way
Vanessafort, AZ 75816"	07 Apr 1916	(Decimal('28.732796'), Decimal('-47.582698'))	745-43-3240
1725	M	Medical technical officer	AB-	Sean Jones	Hawaiian	"281 Parker Falls Apt. 985
West Jeffrey, IA 21077"	07/20/2004, 00:00:00	(Decimal('6.1631745'), Decimal('165.302823'))	502-71-3263
1726	F	Probation officer	A-	Donna Goodman	white	"10084 Frank Port
New Jasmineburgh, IL 72448"	08/12/1913, 00:00:00	(Decimal('-58.007143'), Decimal('152.712091'))	541-80-7891
